bet_type,data_status,payout_per_100_yen,payout_popularity,race_date,race_id,source_url,winning_selection
3連複,QUARANTINED_HTML:track_condition,1820,6,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,5-8-11
3連単,QUARANTINED_HTML:track_condition,14530,53,2026-08-01,pw01sde1001202601030320260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030320260801%2FB9,8-11-5
単勝,PASS_HTML,1000,4,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,7
複勝,PASS_HTML,200,4,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,7
複勝,PASS_HTML,110,1,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,1
複勝,PASS_HTML,150,3,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,11
枠連,PASS_HTML,750,3,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,1-6
ワイド,PASS_HTML,420,4,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,1-7
ワイド,PASS_HTML,820,11,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,7-11
ワイド,PASS_HTML,210,2,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,1-11
馬連,PASS_HTML,1220,4,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,1-7
馬単,PASS_HTML,2860,8,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,7-1
3連複,PASS_HTML,1670,5,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,1-7-11
3連単,PASS_HTML,11300,33,2026-08-01,pw01sde1001202601030420260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030420260801%2F6E,7-1-11
単勝,PASS_HTML,250,1,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,7
複勝,PASS_HTML,110,1,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,7
複勝,PASS_HTML,120,2,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,5
複勝,PASS_HTML,130,3,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,3
枠連,PASS_HTML,440,1,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,4-5
ワイド,PASS_HTML,200,1,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,5-7
ワイド,PASS_HTML,240,2,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,3-7
ワイド,PASS_HTML,270,4,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,3-5
馬連,PASS_HTML,430,1,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,5-7
馬単,PASS_HTML,750,1,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,7-5
3連複,PASS_HTML,550,1,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,3-5-7
3連単,PASS_HTML,2110,1,2026-08-01,pw01sde1001202601030520260801,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde1001202601030520260801%2F23,7-5-3
