body_weight_delta,carried_weight,corner_positions,course,data_status,distance_m,finish_position,horse_id,horse_name,horse_no,jockey,last3f,margin,meeting_day,meeting_no,popularity,race_category,race_class,race_date,race_id,race_name,race_no,race_rule,scheduled_start,sex_age,source_url,surface,time,track_condition,trainer,weather,weight_rule,平均1F,枠
414(0),55.0,9  9  11  11,札幌,QUARANTINED_HTML:track_condition,1700,13,pw01dud102023102197/0D,ダリアフレイバー,7,鮫島 克駿,40.4,４,03,02,14,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:48.6,,河嶋 宏樹,晴,馬齢,,
430(-2),57.0,3  3  3  5,札幌,QUARANTINED_HTML:track_condition,1700,14,pw01dud102023106863/24,アーデルブリックス,14,北村 友一,41.6,クビ,03,02,7,3歳,未勝利,2026-08-29,pw01sde0101202602030120260829,3歳未勝利,01,[指定],10時00分,牡3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602030120260829%2F3D,ダート,1:48.7,,坂口 智康,晴,馬齢,,
460(-6),55.0,13  12  13  5,札幌,QUARANTINED_HTML:track_condition,1700,1,pw01dud002023104322/B7,タガノシルフィー,1,横山 和生,36.6,,04,02,3,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:45.5,,石橋 守,晴,馬齢,,
446(-6),55.0,7  7  6  5,札幌,QUARANTINED_HTML:track_condition,1700,2,pw01dud002023104101/C2,テンレッドサン,4,横山 武史,38.5,３ 1/2,04,02,6,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:46.1,,西園 翔太,晴,馬齢,,
454(+8),55.0,7  7  8  5,札幌,QUARANTINED_HTML:track_condition,1700,3,pw01dud002023102608/FE,エリカビアリッツ,7,鮫島 克駿,38.2,クビ,04,02,2,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:46.1,,堀 宣行,晴,馬齢,,
456(+10),55.0,13  14  11  5,札幌,QUARANTINED_HTML:track_condition,1700,4,pw01dud002023107068/E3,サンセリテ,5,武 豊,38.0,３,04,02,9,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:46.6,,鹿戸 雄一,晴,馬齢,,
472(+12),55.0,10  9  8  5,札幌,QUARANTINED_HTML:track_condition,1700,5,pw01dud002023105555/91,ウォータースパウト,11,吉田 隼人,38.8,アタマ,04,02,4,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:46.7,,小笠 倫弘,晴,馬齢,,
462(-2),55.0,9  9  6  1,札幌,QUARANTINED_HTML:track_condition,1700,6,pw01dud002023102700/97,コイバナ,14,浜中 俊,39.3,２,04,02,7,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:47.0,,渡辺 薫彦,晴,馬齢,,
460(-4),55.0,6  6  4  3,札幌,QUARANTINED_HTML:track_condition,1700,7,pw01dud002023104374/ED,ブライトエンジェル,12,川又 賢治,40.4,５,04,02,1,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:47.8,,角田 晃一,晴,馬齢,,
472(+6),55.0,5  4  3  2,札幌,QUARANTINED_HTML:track_condition,1700,8,pw01dud002023102909/04,マーゴットクリュグ,2,松本 大輝,40.6,アタマ,04,02,8,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:47.8,,小林 真也,晴,馬齢,,
428(-2),52.0,11  11  11  11,札幌,QUARANTINED_HTML:track_condition,1700,9,pw01dud002023104332/C7,タガノラヴズワン,8,▲和田 陽希,39.4,クビ,04,02,10,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:47.9,,平田 修,晴,馬齢,,
472(+12),55.0,11  12  14  12,札幌,QUARANTINED_HTML:track_condition,1700,10,pw01dud002023106819/9F,モンテパステル,10,古川 吉洋,38.8,１／２,04,02,12,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:48.0,,四位 洋文,晴,馬齢,,
412(0),55.0,4  4  8  13,札幌,QUARANTINED_HTML:track_condition,1700,11,pw01dud002023100580/D7,セントピュアベース,9,荻野 琢真,42.5,大差,04,02,14,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:50.4,,藤野 健太,晴,馬齢,,
466(+8),55.0,2  1  1  3,札幌,QUARANTINED_HTML:track_condition,1700,12,pw01dud002023102170/E1,ビレッジルイーザ,6,丹内 祐次,43.7,１／２,04,02,11,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:50.5,,伊藤 圭三,晴,馬齢,,
504(+12),52.0,1  2  2  5,札幌,QUARANTINED_HTML:track_condition,1700,13,pw01dud002023107267/D2,ジーティービキニ,13,▲小林 美駒,43.8,１ 1/2,04,02,5,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:50.7,,松下 武士,晴,馬齢,,
466(+4),55.0,3  3  4  13,札幌,QUARANTINED_HTML:track_condition,1700,14,pw01dud002023104239/BB,ゴーゴーエイミー,3,斎藤 新,47.3,大差,04,02,13,3歳,未勝利,2026-08-30,pw01sde0101202602040120260830,3歳未勝利,01,牝［指定］,10時00分,牝3,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0101202602040120260830%2F65,ダート,1:54.6,,東田 明士,晴,馬齢,,
456(+4),60.0,7  7  3  3,新潟,PASS_HTML,2850,1,pw01dud002021100557/B4,オーサムストローク,9,草野 太郎,,,04,03,3.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牡5,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:03.2,良,伊藤 圭三,曇,定量,12.9,
502(+10),58.0,4  4  4  4,新潟,PASS_HTML,2850,2,pw01dud002021103555/9B,ゴールデンステップ,13,高田 潤,,５,04,03,2.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牝5,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:04.0,良,和田 勇介,曇,定量,12.9,
484(+2),57.0,1  1  1  1,新潟,PASS_HTML,2850,3,pw01dud002022101532/D0,エポカスピーガ,6,▲井上 敏樹,,２,04,03,8.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牝4,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:04.3,良,田中 剛,曇,定量,12.9,
492(+8),60.0,2  2  2  2,新潟,PASS_HTML,2850,4,pw01dud002020103063/44,マルディランダ,5,上野 翔,,７,04,03,1.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牡6,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:05.4,良,金成 貴史,曇,定量,13.0,
502(+2),58.0,6  6  5  5,新潟,PASS_HTML,2850,5,pw01dud002020103486/81,トラマンダーレ,11,△坂口 智康,,２,04,03,5.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,せん6,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:05.7,良,浅利 英明,曇,定量,13.0,
472(+4),60.0,4  5  7  7,新潟,PASS_HTML,2850,6,pw01dud002019105197/D0,ブラックシールド,8,小牧 加矢太,,５,04,03,4.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牡7,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:06.5,良,小栗 実,曇,定量,13.1,
478(0),60.0,7  7  8  8,新潟,PASS_HTML,2850,7,pw01dud002019104091/FE,メイショウブレゲ,4,中村 将之,,３,04,03,6.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牡7,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:07.0,良,本田 優,曇,定量,13.1,
496(+2),60.0,2  2  6  6,新潟,PASS_HTML,2850,8,pw01dud002019105745/C0,フレイムジョーカー,1,大江原 圭,,２,04,03,7.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牡7,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:07.3,良,岩戸 孝樹,曇,定量,13.1,
466(+2),60.0,10  9  9  9,新潟,PASS_HTML,2850,9,pw01dud002021102336/9D,ヨシノヤッタルデー,10,黒岩 悠,,大差,04,03,10.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牡5,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:10.2,良,中竹 和也,曇,定量,13.3,
490(+4),57.0,11  11  11  10,新潟,PASS_HTML,2850,10,pw01dud002022103285/C4,バトンロード,7,▲小林 凌大,,５,04,03,11.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牡4,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:11.1,良,粕谷 昌央,曇,定量,13.4,
458(-4),60.0,12  12  12  12,新潟,PASS_HTML,2850,11,pw01dud002022103588/B0,スノーリン,12,江田 勇亮,,１ 1/4,04,03,12.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,せん4,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:11.3,良,和田 雄二,曇,定量,13.4,
454(+6),57.0,9  10  10  10,新潟,PASS_HTML,2850,12,pw01dud002022106999/C4,ニシノクードクール,3,▲水沼 元輝,,大差,04,03,9.0,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牝4,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,3:14.1,良,武藤 善則,曇,定量,13.6,
,60.0,,新潟,PASS_HTML,2850,取消,pw01dud002021100190/0B,ニシノインヴィクタ,2,伴 啓太,,,04,03,,障害3歳以上,未勝利,2026-08-30,pw01sde0104202603040120260830,障害3歳以上未勝利,01,,9時40分,牡5,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0104202603040120260830%2F74,障害,,良,本間 忍,曇,定量,,
484(-2),55.0,2  3  3  3,中京,PASS_HTML,2000,1,pw01dud102024100654/17,マンナット,7,川田 将雅,34.7,レコード,03,03,2,2歳,未勝利,2026-08-29,pw01sde0107202603030120260829,2歳未勝利,01,（混合）［指定］,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202603030120260829%2F2A,芝,1:59.6,良,斉藤 崇史,曇,馬齢,,
476(-10),55.0,7  7  6  6,中京,PASS_HTML,2000,2,pw01dud102024100037/2A,エンルートフライト,1,坂井 瑠星,34.3,クビ,03,03,1,2歳,未勝利,2026-08-29,pw01sde0107202603030120260829,2歳未勝利,01,（混合）［指定］,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202603030120260829%2F2A,芝,1:59.6,良,池添 学,曇,馬齢,,
496(-4),55.0,10  9  8  6,中京,PASS_HTML,2000,3,pw01dud102024106310/12,ハルカカナタ,8,幸 英明,34.5,１ 1/4,03,03,6,2歳,未勝利,2026-08-29,pw01sde0107202603030120260829,2歳未勝利,01,（混合）［指定］,9時50分,牝2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202603030120260829%2F2A,芝,1:59.8,良,秋山 真一郎,曇,馬齢,,
446(-4),55.0,8  8  8  9,中京,PASS_HTML,2000,4,pw01dud102024105800/08,ホットロッドハート,10,吉村 誠之助,34.5,１ 1/2,03,03,7,2歳,未勝利,2026-08-29,pw01sde0107202603030120260829,2歳未勝利,01,（混合）［指定］,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202603030120260829%2F2A,芝,2:00.1,良,前川 恭子,曇,馬齢,,
490(0),55.0,5  6  6  8,中京,PASS_HTML,2000,5,pw01dud102024100601/6E,ディープナイト,4,荻野 琢真,34.9,１ 1/2,03,03,9,2歳,未勝利,2026-08-29,pw01sde0107202603030120260829,2歳未勝利,01,（混合）［指定］,9時50分,牡2,https://www.jra.go.jp/JRADB/accessS.html?CNAME=pw01sde0107202603030120260829%2F2A,芝,2:00.3,良,牧田 和弥,曇,馬齢,,
